,demo_url,X,team_1,score,team_2,league,type,date
196,https://www.hltv.org/download/demo/56468,196,100 Thieves,2 - 1,Swole Patrol,ESL Pro League Season 11 North America,bo3,26th of March 2020
197,https://www.hltv.org/download/demo/56464,197,SKADE,2 - 1,Turkey5,ESEA Advanced Season 33 Europe,bo3,26th of March 2020
198,https://www.hltv.org/download/demo/56463,198,FaZe,2 - 0,TYLOO,ESL Pro League Season 11 Europe,bo3,26th of March 2020
199,https://www.hltv.org/download/demo/56466,199,i sleep,2 - 0,Shidiots,LPL Pro League Season 4,bo3,26th of March 2020
200,https://www.hltv.org/download/demo/56467,200,Lucid Dream,2 - 0,D13,ESEA Open Season 33 Asia-Pacific,bo3,26th of March 2020
201,https://www.hltv.org/download/demo/56465,201,Paradox,2 - 1,Airborne,LPL Pro League Season 4,bo3,26th of March 2020
202,https://www.hltv.org/download/demo/56462,202,Polar Ace,2 - 1,Front,ESEA Advanced Season 33 North America,bo3,26th of March 2020
203,https://www.hltv.org/download/demo/56461,203,Yeah,2 - 1,AA,eFire Master League North America,bo3,26th of March 2020
204,https://www.hltv.org/download/demo/56460,204,D13,2 - 0,HZ,ESEA Open Season 33 Asia-Pacific,bo3,25th of March 2020
205,https://www.hltv.org/download/demo/56459,205,Chiefs,1 - 2,Rooster,ESL Australia & NZ Championship Season 10,bo3,25th of March 2020
206,https://www.hltv.org/download/demo/56458,206,Big Chillin,1 - 2,Faint,ESEA Advanced Season 33 North America,bo3,25th of March 2020
207,https://www.hltv.org/download/demo/56453,207,Station7,2 - 1,Thunder Logic,eFire Master League North America,bo3,25th of March 2020
